Location;Area;Forest Type;Aspect of Location;Position at slope;Notes to location;Control device;GPS Rechtswert;GPS Hochwert;Altitude
1;24*29*21;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;11;28R 0227360;3181098;1249
1;24*29*22;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;12;28R 0227360;3181085;1252
1;24*29*23;Mixed Forest;161° SE;am Hang;Boden dick mit Nadeln bedeckt;13;28R 0227364;3181087;1254
2;30*22*22;Laurel Forest;40° NE;am Hang;steiler Hang, dichter Bestand, dichter Unterwuchs aus Farnen und jungen Bäumen;21;28R 0224127;3169934;1207
2;30*22*22;Laurel Forest;40° NE;am Hang;steiler Hang, dichter Bestand, dichter Unterwuchs aus Farnen und jungen Bäumen;22;28R 0224132;3169944;1205
2;30*22*22;Laurel Forest;40° NE;am Hang;steiler Hang, dichter Bestand, dichter Unterwuchs aus Farnen und jungen Bäumen;23;28R 0224131;3169944;1205
3;12*32*26;Pine Forest;60,5° NE;am Hang;Myrica Faya + Erica arborea im Unterwuchs;31;28R 0223160;3168046;1481
3;12*32*26;Pine Forest;60,5° NE;am Hang;Myrica Faya + Erica arborea im Unterwuchs;32;28R 0223163;3168021;1486
3;12*32*26;Pine Forest;60,5° NE;am Hang;Myrica Faya + Erica arborea im Unterwuchs;33;28R 0223133;3168024;1488
